key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,grating.started,key_resp.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,32,31,down,0.005,db,0.05025971300475695,0.014927800046280026,101.19811900006607,101.19811900006607,101.49792460002936,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,33,32,up,0.005,db,0.050288653150086925,0.014346000039950013,103.61471370002255,103.61471370002255,103.9144369000569,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,34,33,up,0.005,db,0.050288653150086925,0.015290800016373396,106.01459749997593,106.01459749997593,106.31445479998365,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,35,34,up,0.005,db,0.050317609959499555,0.015143499942496419,108.56455240002833,108.56455240002833,108.86439180001616,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,36,35,up,0.005,db,0.05034658344259022,0.015239200089126825,110.96446460019797,110.96446460019797,111.26421510009095,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,37,36,up,0.005,db,0.05037557360895982,0.015471899881958961,113.63099390012212,113.63099390012212,113.93079200014472,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,38,37,up,0.005,db,0.05040458046821479,0.015230099903419614,115.9975168001838,115.9975168001838,116.29754030006006,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,39,38,up,0.005,db,0.05043360402996709,0.01457910006865859,118.43091210001148,118.43091210001148,118.73061370011419,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,40,39,up,0.005,db,0.05046264430383422,0.015422599855810404,120.89738960005343,120.89738960005343,121.19717950001359,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,41,40,up,0.005,db,0.05046264430383422,0.015380899887531996,123.44727950007655,123.44727950007655,123.74764530011453,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,42,41,up,0.005,db,0.05046264430383422,0.01529320003464818,125.8973105000332,125.8973105000332,126.19720540009439,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,43,42,up,0.005,db,0.05049170129943922,0.015168400015681982,128.56381680001505,128.56381680001505,128.86359530012123,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,44,43,up,0.005,db,0.05049170129943922,0.014575999928638339,130.94709100015461,130.94709100015461,131.2467846001964,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
0,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,45,44,up,0.005,db,0.05052077502641067,0.015250199940055609,133.36354490020312,133.36354490020312,133.6632985000033,1,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,46,45,up,0.005,db,0.05052077502641067,0.015735300024971366,135.8800822000485,135.8800822000485,136.18006390007213,0,152854,001,2022-09-07_22h30.04.451,HILONISHAH _AU2020158,2022.2.2,59.86833758094873,
